unit_id,name
3.76.47.71,彰化縣田尾鄉公所
3.87.15,臺中市政府環境保護局
3.15.25.4,交通部公路總局第四區養護工程處
3.13.30.95,臺灣糖業股份有限公司畜殖事業部
3.95.8.91,臺南市永康區永康國民小學
3.80.32,桃園市政府消防局
3.76.44.55,新竹縣湖口鄉公所
37303907,臺灣北基農田水利會
3.1.1.3,內政部警政署航空警察局
3.76.54,臺東縣政府
3.13.31.24,台灣電力股份有限公司屏東區營業處
3.92.4.66,國立曾文高級農工職業學校
3.76.49.68,雲林縣四湖鄉公所
A.5.5.1,國防部軍事情報局
3.10.5,國立臺北科技大學
3.76.53.54,屏東縣恆春鎮公所
3.13.52.12,台灣自來水股份有限公司第十二區管理處
3.15.85,桃園國際機場股份有限公司
3.13.20.3,經濟部水利署南區水資源局
3.9.20.1.1,國立臺灣大學醫學院附設醫院雲林分院
3.76.47.96.32,彰化縣立溪陽國民中學
3.13.50.41.8,台灣中油股份有限公司油品行銷事業部東區營業處
3.82.76,新北市土城區公所
3.71.5.44,馬祖酒廠實業股份有限公司
3.97.25,高雄市政府水利局
3.13.52.21,台灣自來水股份有限公司北區工程處
3.13.30.89.1,臺灣糖業股份有限公司量販事業部楠梓量販店
3.15.8.18,交通部觀光局東北角暨宜蘭海岸國家風景區管理處
3.13.31.49,台灣電力股份有限公司南部發電廠
3.76.50.3.5,嘉義縣環境保護局
3.15.8.11,交通部觀光局日月潭國家風景區管理處
3.82.51,新北市板橋區公所
3.76.55.62,花蓮縣卓溪鄉公所
3.92.43,國立臺北教育大學
3.76.47.69,彰化縣社頭鄉公所
3.76.49.66,雲林縣臺西鄉公所
3.9.20,國立臺灣大學
A.9.12,國立臺灣圖書館
3.87.36.1,臺中市政府住宅發展工程處
3.92.1.66,國立彰化女子高級中學
3.13.31.82,台灣電力股份有限公司第二核能發電廠
3.9.26,國立成功大學
3.82.77,新北市蘆洲區公所
02686098,臺灣石門農田水利會
3.92.3.55,國立佳冬高級農業職業學校
3.15.7,交通部中央氣象局
3.45.23,行政院農業委員會水產試驗所
3.76.56.55,澎湖縣望安鄉公所
3.15.5.3,交通部臺灣區國道高速公路局南區工程處
A.21.100.37,衛生福利部彰化醫院
3.15.25.35,交通部公路總局高雄區監理所
3.9.20.11,國立臺灣大學生物資源暨農學院實驗林管理處
3.92.5.8,國立鳳山高級商工職業學校
A.3.3,駐外機構
3.45.4.3,行政院農業委員會林務局東勢林區管理處
3.45.5.12,行政院農業委員會水土保持局花蓮分局
3.79.11.1,臺北市政府工務局新建工程處
3.80.5.88,桃園市立南崁國民中學
3.13.31.40,台灣電力股份有限公司興達發電廠
2.1,中央研究院
3.5.95,國防大學
3.13.20.17,經濟部水利署第七河川局
3.13.31.16,台灣電力股份有限公司新營區營業處
A.21.100.39,衛生福利部嘉義醫院
3.76.58.2,新竹市警察局
3.76.44.64,新竹縣竹北市公所
3.80.5.52,桃園市立青溪國民中學
3.13.31.41,台灣電力股份有限公司協和發電廠
3.92.1.6,國立武陵高級中學
3.76.54.62,臺東縣延平鄉公所
3.76.53.70,屏東縣南州鄉公所
8.3,國家安全局
4,立法院
3.76.49.96.28,雲林縣立馬光國民中學
3.82.5.73,新北市立林口國民中學
3.76.47.97.9,彰化縣彰化市聯興國民小學
3.87.25,臺中市政府水利局
3.95.4.3,臺南市體育處
3.82.14.1,新北市立聯合醫院
3.97.14.2,高雄市立聯合醫院
3.97.27,高雄市政府農業局
A.7.4,財政部高雄國稅局
3.13.31.8,台灣電力股份有限公司新竹區營業處
3.92.1.67,國立嘉義女子高級中學
3.13.2,經濟部工業局
3.76.50.69,嘉義縣阿里山鄉公所
3.95.71,臺南市大內區公所
3.87.5.4,臺中市立臺中第一高級中等學校
3.97.80,高雄市彌陀區公所
3.13.31.12,台灣電力股份有限公司南投區營業處
